lon,lat,observer_height,heading_deg
15.08506701,37.04217614,1.5,258.4059448
13.90080492,37.45939905,1.5,68.21237183
12.48659907,37.69285356,1.5,116.7661285
15.08490769,36.96559848,1.5,276.8477173
13.25234482,37.47407392,1.5,314.4009399
12.80248017,37.92017208,1.5,0.471054077
15.08619515,37.10583465,1.5,332.5712585
14.00792742,37.54164779,1.5,141.5352631
13.97933593,37.35567189,1.5,21.0039978
13.59107333,37.84395075,1.5,245.8686523
14.88819497,37.08577443,1.5,207.7625427
15.01100501,36.96566324,1.5,35.41157532
13.90201369,37.96260079,1.5,152.9216404
15.66474423,38.15515565,1.5,115.2382813
13.27872468,37.46490067,1.5,42.80859375
14.15821774,37.23171394,1.5,217.1904907
12.96851089,37.58356473,1.5,187.4059143
12.98216027,37.61612316,1.5,308.3522949
15.01137137,36.9651402,1.5,358.6601563
13.04756187,37.69412732,1.5,90.21028137
13.72388741,37.52765492,1.5,8.441741943
13.43396188,37.30271572,1.5,157.117382
15.09360658,37.15663735,1.5,131.2527122
13.13253916,38.03952668,1.5,161.7917252
13.31830334,37.50718346,1.5,13.1915741
15.01652377,36.88737859,1.5,18.09611511
12.5209122,37.77063981,1.5,325.3064728
15.10325184,37.25939185,1.5,329.5399323
13.67170491,37.92691277,1.5,147.7063408
15.05015228,37.04422804,1.5,185.063324
14.88832112,37.08560181,1.5,230.6362305
14.88836095,37.08552187,1.5,147.8610001
13.37614907,37.35554082,1.5,80.58705902
15.08524666,36.96564433,1.5,282.8520813
15.09023539,37.08799724,1.5,261.2932129
13.32524465,37.53816964,1.5,277.1295776
12.98508793,37.64832834,1.5,210.389679
13.04565679,37.64289773,1.5,61.64468384
13.40850142,37.60663883,1.5,112.1977539
15.08494658,37.04219663,1.5,259.2867126
13.89943827,37.34976283,1.5,119.2762604
15.01659751,36.88720815,1.5,197.5171814
14.93672732,37.1196901,1.5,223.973175
13.83560896,37.48529131,1.5,344.7949219
15.01656443,36.88729288,1.5,197.9382019
14.88844835,37.08562668,1.5,336.4743652
15.01891296,37.1975408,1.5,205.0932617
15.08501893,36.96559625,1.5,95.85473633
13.10014222,37.65231679,1.5,41.18600464
15.08603361,36.88612767,1.5,268.7991333
13.13255755,37.53995633,1.5,59.39041138
13.63526787,37.84800009,1.5,299.7436371
13.46850447,37.5843288,1.5,243.5349731
15.08994841,37.08803647,1.5,261.3087463
13.42247502,37.43544654,1.5,125.3604355
14.88854555,37.08594084,1.5,350.761673
13.74729533,37.92159052,1.5,300.8491821
15.24196304,36.9711017,1.5,259.8450012
13.94133936,37.96584065,1.5,71.31462097
15.09009319,37.08801649,1.5,261.0198975
13.95234945,37.65893203,1.5,240.0005798
12.86806242,37.76835113,1.5,312.65271
15.08519198,37.04215346,1.5,257.6983032
13.69150448,37.92646603,1.5,336.1932068
13.3964148,37.42863324,1.5,232.4248962
13.51739781,37.46582242,1.5,248.1617126
15.01133116,36.96495824,1.5,349.9989624
14.02366494,37.31773845,1.5,90.61582947
13.66882186,37.99350788,1.5,77.2321167
15.01126919,36.9653902,1.5,38.02944946
14.88789846,37.08560223,1.5,113.8714523
15.027764,37.11660116,1.5,138.137928
13.4863428,37.53858358,1.5,269.7988281
15.08590248,36.88613437,1.5,268.2407532
14.88798854,37.08579883,1.5,186.3334351
12.48055461,37.80884755,1.5,251.2722168
13.0177907,37.61772304,1.5,25.78890991
12.60852423,37.8578993,1.5,0.897537231
13.43037852,37.53938636,1.5,18.24092102
14.11468436,37.57833073,1.5,80.09281158
13.82719219,37.68974598,1.5,282.3528442
14.88838099,37.08556381,1.5,198.7861633
15.01135408,36.96505162,1.5,349.7298889
15.20601987,37.28972011,1.5,136.9737206
15.13531912,37.12816061,1.5,220.2428894
15.13096531,36.95979331,1.5,252.3334961
14.93670157,37.11974629,1.5,174.1737261
15.08970105,37.08806271,1.5,264.4346619
13.05200282,37.62823988,1.5,292.2621613
13.2482629,37.50449038,1.5,97.04592896
15.01645787,36.88761421,1.5,254.5442505
15.01136415,36.96522569,1.5,12.27561951
15.0855024,36.88612326,1.5,274.6207275
12.71855128,37.872235,1.5,298.5860596
15.08483142,37.04221524,1.5,259.9336548
13.85530452,37.48082361,1.5,54.1753006
14.88825083,37.08568092,1.5,209.2807617
14.88791762,37.08534571,1.5,97.47238159
15.63673302,38.19140984,1.5,175.9733362
12.86761666,37.80912682,1.5,208.2133789
15.08564941,36.88613142,1.5,274.1483154
12.60398254,37.87259752,1.5,68.01164246
15.01650237,36.88745957,1.5,195.1626892
14.88803406,37.08535804,1.5,97.56781769
13.55836465,37.31619426,1.5,355.4037476
14.88852702,37.08584699,1.5,352.291214
13.12581105,37.56892682,1.5,263.0055542
15.01109604,36.96556351,1.5,38.52354431
14.25014211,37.30219886,1.5,34.56178284
13.08991943,38.00577322,1.5,308.4092102
14.8881424,37.08585496,1.5,209.4006958
13.25242856,37.62442349,1.5,255.7098389
14.09057937,37.3107352,1.5,311.4340668
14.88850546,37.08575786,1.5,350.1128693
13.32375049,37.58308985,1.5,303.4124603
14.08969603,37.58974496,1.5,234.283844
15.08534853,36.96565918,1.5,278.9597473
13.13310493,37.65549877,1.5,160.3360729
15.08575556,36.88613469,1.5,273.177887
12.4741173,37.70184137,1.5,63.74133301
13.74048979,37.55234314,1.5,56.53499603
15.08980096,37.08805319,1.5,264.2136841
15.01118708,36.96547227,1.5,40.54940796
14.93708042,37.11944798,1.5,244.9501343
15.09129158,37.01779012,1.5,242.0857544
13.71400522,37.96307196,1.5,170.5400381
15.01650183,36.88754885,1.5,170.0777645
14.93769188,37.19223972,1.5,335.3247223
13.30790778,37.38087602,1.5,75.92749023
14.88816913,37.0853691,1.5,97.99714661
15.01133027,36.96530844,1.5,26.40365601
13.54539031,37.49604157,1.5,12.34565735
14.13498556,37.25927483,1.5,102.1565552
15.0445234,37.30679031,1.5,187.3578186
13.37755641,37.38500171,1.5,240.5567627
14.88826954,37.08542006,1.5,141.2080078
13.97728139,37.65835406,1.5,267.3812561
13.18093991,37.58904857,1.5,305.3495941
15.08471903,37.04223261,1.5,259.5288696
15.08513962,36.96562542,1.5,282.0270691
13.97947539,37.37404216,1.5,73.71556854
14.88798818,37.08571939,1.5,170.5440073
13.79234102,37.97378717,1.5,257.2874451
13.42871584,37.43130841,1.5,335.7879791
14.88834678,37.08550423,1.5,147.8248482
13.58759378,37.2738383,1.5,358.1082916
13.42846726,37.43150265,1.5,51.75369263
13.55834444,37.31649914,1.5,36.12730408
14.01036857,37.39233178,1.5,127.975811
12.98180283,37.61577453,1.5,147.500782
13.42865164,37.43139101,1.5,229.2732849
13.27864462,37.4649721,1.5,42.38269043
13.40815157,37.60654859,1.5,292.802887
13.40862591,37.60669551,1.5,292.9097595
13.89899491,37.3495306,1.5,136.8741531
12.66747309,37.96278689,1.5,58.54631042
15.10301079,37.25917509,1.5,307.0956421
13.97934,37.35587737,1.5,319.2073059
13.40807028,37.6064997,1.5,323.0774536
13.13221445,37.54007303,1.5,69.32647705
12.9820775,37.6160569,1.5,140.8994293
13.13265811,37.53989815,1.5,50.89253235
13.9796052,37.37400898,1.5,74.9204483
13.27840232,37.46516361,1.5,47.79571533
13.97974962,37.37397837,1.5,78.65177917
13.43395985,37.30291037,1.5,359.2224121
13.89914925,37.34963096,1.5,304.898468
12.9822571,37.61616765,1.5,289.5296631
13.55836404,37.3159554,1.5,12.15908813
14.02378186,37.31771629,1.5,72.26449585
13.03888676,37.49818186,1.5,262.8990479
15.10318743,37.25927445,1.5,129.7449226
13.13286362,37.53976179,1.5,53.32215118
13.97989874,37.37395494,1.5,82.61580658
13.43023831,37.539467,1.5,70.04995728
13.97941553,37.35594155,1.5,317.4075012
13.2784837,37.46510587,1.5,48.39497375
13.40839703,37.60662069,1.5,293.0913696
13.10022463,37.65227447,1.5,220.8614502
13.43394001,37.30280679,1.5,350.3365326
14.01045864,37.39238535,1.5,128.5075912
14.38454579,37.27439555,1.5,23.62210083
12.98186451,37.61584418,1.5,144.3808289
12.98193691,37.61591863,1.5,323.1529541
13.27856473,37.46504152,1.5,44.59606934
13.42838313,37.43156034,1.5,230.0519409
15.10310285,37.25922392,1.5,127.3210144
13.13210255,37.54010762,1.5,67.79581451
15.02260715,37.2303891,1.5,221.3574829
13.97930644,37.35574331,1.5,13.8369751
13.5581408,37.31660203,1.5,79.04585266
13.89924057,37.34967645,1.5,302.7653503
13.97953835,37.35604178,1.5,318.0515137
13.25252358,37.47419973,1.5,309.8505402
13.43395685,37.30312717,1.5,0.892913818
15.10290712,37.2591248,1.5,124.0521736
12.98200826,37.61599016,1.5,321.5375671
13.1323304,37.54003973,1.5,70.5473938
13.55838354,37.31640905,1.5,7.702041626
13.55825688,37.31656595,1.5,61.84396362
13.43033495,37.53945808,1.5,7.175628662
14.38456914,37.27430823,1.5,8.323440552
13.97929759,37.35580954,1.5,349.2212219
13.89906748,37.34958425,1.5,131.4713974
13.13244864,37.54000258,1.5,66.52149963
13.55837984,37.31630599,1.5,355.3911743
13.25241826,37.47412652,1.5,312.0373688
13.13296021,37.53970502,1.5,56.34632111
13.4339841,37.30302923,1.5,171.8029528
13.55835336,37.31607567,1.5,0.231445313
15.10324488,37.25935365,1.5,354.0316315
13.13275303,37.53983182,1.5,50.6525116
13.10012014,37.65226364,1.5,63.30117798
13.42856143,37.43144588,1.5,55.08554077
13.89934287,37.34972303,1.5,300.260437
13.97780399,37.6583796,1.5,274.614502
13.44070717,37.30412412,1.5,32.20289612
13.09692157,38.15517919,1.5,338.8964996
13.32488675,37.53813126,1.5,279.024231
13.24878587,37.42834389,1.5,312.2266235
14.33905887,37.16825622,1.5,296.7097931
13.25629143,37.57729529,1.5,234.0295105
15.6628624,38.23497152,1.5,239.1402283
13.01757625,37.61806444,1.5,28.23156738
15.66485566,38.07747552,1.5,163.8314056
15.12524834,37.5799799,1.5,201.9162598
13.08442788,37.68445845,1.5,23.49487305
13.97753472,37.65836098,1.5,277.0646973
13.37929211,37.46071374,1.5,194.4747314
14.05350816,37.46308635,1.5,167.0040379
13.67164758,37.92683745,1.5,14.2467804
13.03932322,37.49816224,1.5,294.2171021
13.95252412,37.6588506,1.5,238.6623535
13.67184264,37.92719016,1.5,337.1298676
13.90207732,37.96267617,1.5,315.2196198
12.45540614,37.77874892,1.5,222.7056885
13.05682147,37.50514914,1.5,76.77230835
13.71405285,37.96314351,1.5,342.6698761
